time,longitude,latitude,FireMask,LST_Day_1km,LST_Night_1km,Emis_31,Emis_32,sur_refl_b01,sur_refl_b02,sur_refl_b03,sur_refl_b04,sur_refl_b05,sur_refl_b06,sur_refl_b07,soil_temperature_level_1,soil_temperature_level_2,soil_temperature_level_3,volumetric_soil_water_layer_1,volumetric_soil_water_layer_2,volumetric_soil_water_layer_3,u_component_of_wind_10m,v_component_of_wind_10m,region
1635465600000,-123.1949580641512,39.20697057539652,5.0,14601.0,14301.5,245.0,242.0,1810.5,3199.5,1145.0,1681.0,3628.0,3405.0,2464.5,287.9620049794515,287.77746772766113,287.916207631429,0.3702278137207031,0.3763529459635417,0.30324363708496094,0.17355855305989584,-0.6596337556838989,1
1635552000000,-123.1949580641512,39.20697057539652,5.0,14584.0,14287.0,249.5,248.5,773.0,1780.5,497.5,711.5,1922.0,1686.0,986.5,287.569538752238,288.028860727946,288.10960578918457,0.3619263966878255,0.36773236592610675,0.3048744201660156,0.25275611877441406,0.5886281331380209,1
1635638400000,-123.1949580641512,39.20697057539652,4.0,,13861.0,248.0,248.0,5230.0,5506.0,5863.5,5315.0,5119.5,4543.0,2926.5,285.96593475341797,286.86596488952637,288.18564478556317,0.36267344156901044,0.3625977834065755,0.30624135335286456,-0.11072500546773274,1.0073323249816895,1
1635724800000,-123.1949580641512,39.20697057539652,4.0,,,,,7587.0,8004.5,7320.5,7527.5,7018.0,4582.5,2539.5,285.69334348042804,286.44648424784344,288.13544782002765,0.382632573445638,0.36255327860514325,0.30739593505859375,-1.4319862922032673,1.2978096008300781,1
1635811200000,-123.1949580641512,39.20697057539652,4.0,14584.0,14089.0,246.0,246.0,918.5,1857.5,824.0,940.0,1991.0,1573.0,891.5,285.3569475809733,285.84617296854657,288.0232849121094,0.4008922576904297,0.390774408976237,0.3100439707438151,-0.5411338806152344,0.40172449747721356,1
1635897600000,-123.1949580641512,39.20697057539652,4.0,14619.0,14130.5,247.5,247.5,739.0,1843.5,406.5,745.0,2043.0,1687.5,934.0,285.17054494222003,285.7717056274414,287.89388211568195,0.37610816955566406,0.3817895253499349,0.3128732045491536,-0.7090593973795573,0.3183063268661499,1
1635984000000,-123.1949580641512,39.20697057539652,3.5,,,,,4650.0,5078.5,4664.0,4656.5,4707.0,3454.5,1608.5,286.5453732808431,286.7930450439453,287.8367214202881,0.4015617370605469,0.3851757049560547,0.3150005340576172,0.8061072031656901,0.7137507597605387,1
1636070400000,-123.1949580641512,39.20697057539652,4.0,,14057.0,247.0,247.0,2100.0,3293.5,1784.5,2132.5,3385.5,2423.5,1349.5,283.3555278778076,285.12026087443036,287.76180267333984,0.39016087849934894,0.3899097442626953,0.3184083302815755,0.54913330078125,-0.8420399824778239,1
1636156800000,-123.1949580641512,39.20697057539652,4.0,,,,,6501.5,6483.5,6626.0,6575.0,5279.0,2058.5,1006.5,283.8537362416585,284.64315032958984,287.49414507548016,0.3830680847167969,0.38244056701660156,0.32110341389973956,0.4884452819824219,-0.18196558952331543,1
1636243200000,-123.1949580641512,39.20697057539652,4.0,14357.0,13907.0,245.0,242.0,600.0,1563.5,380.5,626.5,1688.0,1355.5,703.0,281.707555770874,283.52077611287433,287.2158432006836,0.3772665659586589,0.377475102742513,0.3231252034505208,0.8530241648356119,-1.0653096834818523,1
